iter	Passed	Remaining
0	152	152214
1	153	76661
2	154	51398
3	155	38718
4	156	31109
5	157	26068
6	158	22433
7	158	19709
8	159	17571
9	160	15858
10	160	14456
11	161	13292
12	162	12303
13	162	11454
14	163	10716
15	163	10073
16	164	9512
17	165	9014
18	165	8561
19	166	8157
20	167	7798
21	167	7466
22	168	7158
23	169	6874
24	169	6612
25	170	6369
26	170	6149
27	171	5945
28	171	5750
29	172	5570
30	172	5403
31	173	5244
32	173	5095
33	174	4955
34	174	4823
35	176	4717
36	176	4599
37	177	4493
38	178	4387
39	178	4290
40	179	4194
41	179	4104
42	180	4017
43	181	3938
44	181	3859
45	182	3786
46	183	3716
47	184	3659
48	185	3591
49	185	3526
50	186	3462
51	186	3403
52	187	3349
53	188	3294
54	188	3241
55	189	3192
56	189	3142
57	190	3093
58	191	3046
59	191	3001
60	192	2958
61	192	2917
62	193	2875
63	193	2835
64	194	2797
65	195	2761
66	195	2725
67	196	2689
68	197	2660
69	197	2627
70	198	2595
71	199	2570
72	199	2539
73	200	2513
74	201	2484
75	202	2456
76	202	2427
77	202	2398
78	203	2371
79	203	2345
80	204	2319
81	205	2295
82	205	2268
83	205	2244
84	206	2222
85	207	2200
86	207	2178
87	208	2156
88	208	2135
89	209	2114
90	209	2093
91	210	2074
92	210	2055
93	211	2042
94	212	2024
95	213	2006
96	213	1988
97	214	1970
98	214	1953
99	215	1936
100	215	1920
101	216	1904
102	216	1889
103	217	1873
104	218	1861
105	218	1846
106	219	1831
107	220	1817
108	220	1803
109	221	1789
110	221	1774
111	222	1761
112	222	1748
113	223	1735
114	223	1722
115	224	1709
116	224	1696
117	225	1684
118	226	1673
119	226	1662
120	227	1650
121	227	1638
122	228	1627
123	228	1615
124	229	1604
125	229	1593
126	230	1581
127	230	1571
128	231	1560
129	231	1550
130	232	1540
131	232	1530
132	233	1520
133	234	1516
134	235	1507
135	236	1501
136	236	1492
137	237	1484
138	238	1477
139	238	1468
140	239	1460
141	240	1452
142	241	1444
143	241	1436
144	242	1428
145	243	1421
146	243	1413
147	244	1405
148	244	1397
149	245	1389
150	245	1382
151	246	1374
152	246	1366
153	247	1358
154	247	1351
155	248	1343
156	248	1336
157	249	1329
158	249	1322
159	250	1315
160	250	1306
161	251	1300
162	251	1293
